athlete_name,id,PR_seconds
"Avila-Shah, Greg",5497546,1005.4599990844727
"Barrios, Gilmar",5975937,930.2000007629395
"Carlos, Uriel",5494536,943.6100006103516
"Christopher, Michael",8617947,946.3899993896484
"Davis, Christian",6878782,923.9699993133545
"Dunbar, Miles",2308012,878.5299987792969
"Gibson, Kyle",2351017,966.0599999427795
"Havens, Connor",7730521,851.9899997711182
"Henzey, Tommy",8262844,1029.6999998092651
"Hibbs, Zach",3616331,958.7900009155273
"Husen, Travis",2252567,957.6800003051758
"Joyce, Michael",5463196,1015.0800018310547
"Knight, Michael",5553155,1049.159999847412
"Kurtz, Colby",8610909,893.5
"Alvarez, Bryan",8973266,1043.9500007629395
"Andrade-Sosa, Alexander",6990798,925.2399997711182
"Bates, Nigel",4639124,924.4699993133545
"Bland, Chase",6870467,929.6399993896484
"Brown, Colten",7367127,878.6500015258789
"Bryan, Justin",4180971,914.1199998855591
"Buttry, Nathan",5987434,994.2400016784668
"Castillo, Brenden",8257968,955.2999992370605
"Centrowitz, Matthew",1574791,827.7299995422363
"Collier, Jonathan",5994029,864.1399993896484
"Cortelletti, Brett",5495889,913.3800001144409
"DeCastro, Steven",1657359,886.9599990844727
"Donnelly, Colin",7845098,872.3300018310547
"Donovan, Patrick",5494409,1001.7700004577637
"Franklin, Michael",2749027,846.8200001716614
"Fringer, Matt",5966574,1031.7200002670288
"Gault, Jon",2814156,865.8099994659424
"Hernandez, Carlos",5949558,997.2900009155273
"Keklak, Jared",7376475,949.8800010681152
"Kirui, Kelvin",5460400,887.8699989318848
"Knox, Benjamin",5976380,897.8899993896484
"Krenz , Fynn",8631899,994.060001373291
"Lane, Robbie",3317435,1125.8300018310547
"Libbi, Nicholas",3702372,928.3899993896484
"Liester, Josh",5499787,950.2900009155273
"Maier, Josh",5099180,844.7800002098083
"Martin, Matthew",5463008,892.8400001525879
"McGee, Brandan",3214036,885.1399993896484
"Middleton, Justin",5366235,960.9200000166893
"Ott, Alex",2790159,872.3199996948242
"Patton, Anthony",5488999,981.0599994659424
"Savarese, Eric",5591723,1000.7700004577637
"Sebeck, Sean",2764482,959.2200012207031
"Sells, Jack",7726905,956.4700012207031
"Sherman, Carter",3313486,982.3500003814697
"Shumaker, Jason",8248173,945.6500015258789
"Sinclair, William",7724467,844.4000000953674
"Stephenson, Charlie",8971173,849.7700004577637
"Tegethoff, Caden",7727104,943.5
"Wilcox, Grant",7720295,875.8699989318848
"Broege, Aaron",5156564,1010.8800010681152
"Brown, Justin",8250734,912.420000076294
"Contreras, Blake",5012612,881.7900009155273
"Cormack, Connor",8338634,1057.2000007629395
"DeKalita, Silas",4992038,878.0099983215332
"Degand, Jeffrey",6105807,1303.0400009155273
"Godinez, Jovanny",2756760,847.6300001144409
"Goodge, David",1621910,958.9900016784668
"Gurney, Peter",1709542,921.7199993133545
"Heesch, Matt",1276039,923.6100006103516
"Hefele, Jacob",7687989,894.9900016784668
"Hope, Joel",3757541,1000.7900009155273
"Kallas, Nick",3258109,1142.789999961853
"Lightbody, Scott",7930977,1045.670000076294
"Lloyd, Brock",3266552,953.9900016784668
"McManus, Jack",7700342,911.9300003051758
"Medina, Mark",6872863,987.6800003051758
"Miller, Max",6420296,969.8999996185303
"Mugisha, Alphonse",5607012,958.2400016784668
"Oliver, Thomas",7699947,941.8600006103516
"Quesada, Ryan",1820956,925.3999996185303
"Reed, Xavier",5958769,914.789999961853
"Rogers, Drew",8253779,821.6300010681152
"Rojas, Alex",2732895,1002.4099998474121
"Schickel, Tyler",4073786,863.7600002288818
"Stoltzfus, Dylan",7698760,898.5
"Thoms, Chris",6900931,924.3700008392334
"Tiongson, Paolo",6414941,900.3700000047684
"Verdin, Andrew",4723186,948.439998626709
"Waugh, Brock",8611133,841.4099999666214
"Wise, Chris",4060171,935.0099983215332
"Withrow, Shawn",5460398,1090.4499998092651
"Angeli, Alek",4057044,962.5899999141693
"Arcara, Zak",4508851,934.1500015258789
"Arrington , Cole",7714253,927.670000076294
"Bender, Sam",1739248,973.5699996948242
"Bierach, Patrick",7774449,953.939998626709
"Black, Ben",7717438,943.5200004577637
"Bodary, Chris",2695111,863.079999923706
"Bourse, Matthys",8233539,839.6100006103516
"Bramlett, Beau",5961295,980.329999923706
"Contreras, Diego",6470547,865.75
"Emanuel, Jack",7139426,885.8400001525879
"Franjieh, Julian",8240667,873.2099990844727
"Fry, Raffi",7687068,917.8400001525879
"Garza, Chris",2779972,996.4799995422363
"Goble, Lane",7996541,896.3199996948242
"Kimtai , Regan",8037100,958.2400016784668
"Kovacs, Reid",5976471,907.920000076294
"Kughn, Zachary",4082647,879.5800018310547
"Lafleche, Brian",6539452,918.9500007629395
"Alsup, Jon",7907818,1017.5699996948242
"Barker, Brooks",8264285,1004.6800003051758
"Blubaugh, Jacob",8917246,1002.6199989318848
"Boelens, Matt",5157437,940.9599990844727
"Claus, Kevin",5463180,916.329999923706
"Conway, Keith",4055675,903.3599998950958
"Doyle, Ted",1692801,914.5200004577637
"FLYNN, COLIN",2894731,991.0900001525879
"Hohenthaner, Alex",4837277,929.8899993896484
"Ignacz, John",7815767,922.3199996948242
"Jaquith, Josiah",8921721,911.6400003433228
"Jensen, Tanner",8619276,983.6800003051758
"Johnson, Kolten",7367128,966.4099998474121
"Kigen, Evans",1804890,846.9000000953674
"Kipchumba, Charles",7729027,854.4399995803833
"Klein, Owen",8897635,931.2800006866455
"Koskiewicz, Billy",3623830,883.0800018310547
"Lucking, Alex",4981066,872.4099998474121
"Martin, Jonathan",5463007,931.8600006103516
"Martinez-Mondragon, Oziel",7908449,1131.7799987792969
"Mastroly, Matthew",8589211,976.5
"Murphy, Colt",8333544,920.0300006866455
"O'Hara, Brendan",3253860,943.6800003051758
"Pascente, Andrew",8341419,1021.5900000333786
"Powhida, Simon",5598216,939.8600006103516
"Ryan, Scott",4169948,894.2099990844727
"Scanlon, Garrett",4985891,940.3199996948242
"Stevenson, James",3243004,915.3699998855591
"Thomas, Prue",7741679,1001.4199981689453
"Turi, Michael",4071599,882.1300010681152
"Wertz, Luke",8240781,926.9899997711182
"Appleton, Caleb",6139222,873.0200004577637
"Basaldua, Josiah",7555503,1151.340000152588
"Berry, Cody",5989490,894.5699996948242
"Bosworth, Ryan",8135448,1025.4499998092651
"Camp, Reese",7928069,981.170000076294
"Coleman, Ethan",8237163,823.6300010681152
"Cooper, Haydon",6573572,860.0
"Davis, Joshua",5109524,917.1299991607666
"Davis, Max",7737607,1002.9300003051758
"Duffy, Andrew",4559278,960.910000026226
"Govi, Alec",2759798,861.5200004577637
"Gravius, Christian",5768775,1157.7199993133545
"Harris, Ryan",6908056,984.25
"Harrsen, Anton",6423419,878.0999984741211
"Heluin, Nino",7686319,948.7099990844727
"Hielkema, Spencer",7419374,901.789999961853
"Holstein, Chris",2264966,977.7000007629395
"Ibrahim, Abdirizak",7431697,822.4099998474121
"Lemke, Mark",7494487,866.7600002288818
"Littler, Griffin",8239018,922.0900001525879
"Martin, Matthew",8235020,940.2700004577637
"McNatt, Kyler",8236697,865.3400001525879
"Mendoza, Xavier",6885105,969.5699996948242
"Mercado-Reigh, Joshua",3263007,862.4899997711182
"Miller, Mitchell",5009366,1031.079999923706
"Mullis, Jacob",8922923,1049.7600002288818
"Norberg, Michael",7746175,858.7700004577637
"Penny, Ethan",2748760,898.6800003051758
"Pezzulo, Sean",3185937,882.3199996948242
"Phillips, David",7993678,1158.1399993896484
"Radlich, Bob",2216971,891.1800003051758
"Rotich, Erick",6443236,917.6900005340576
"Schroeder, Josiah",8608573,970.1999998092651
"Schwartz, Jackson",7000206,874.5800018310547
"Sewnig, Jonathan",3734146,876.8300018310547
"Southworth, Andrew",3728303,1009.9900016784668
"Trout, Cam",6005854,887.9599990844727
"Whitefoot, Jack",7829133,1056.6199989318848
"Adkins, Brett",3294069,1091.5600004196167
"Allen, Shaun",4522909,941.2299995422363
"Backus, Joe",7364199,893.1300010681152
"Blankenship, Gage",7687561,1135.1399993896484
"Brown, Mike",8280702,886.6699981689453
"Carretta, Aurelien",8333880,999.3300018310547
"Ceja, Gonzalo",5212387,893.9300003051758
"Dayoub, Miles",4509075,955.1599998474121
"El Youssfi, Mohammed",8916152,836.8199996948242
"Garrissere, Jake",5466805,982.1499996185303
"Gillis, Christopher",6452848,954.4199981689453
"Gray, Maxwell",5963156,978.7700004577637
"Hall, Caleb",7689648,921.7900009155273
"Hanna , Stephen",8371458,1002.0299987792969
"Hansen, Oliver",8232973,926.5499992370605
"Harvey, Ben",6908345,964.5300002098083
"Hill, Andrew",3252465,895.7299995422363
"Hinze, Martin",3295122,944.310001373291
"Hogan, Drew",8356883,883.9700012207031
"Kafoury, Christian",7373774,1108.0400009155273
"Kimp, Alex",3174871,934.7700004577637
"Longei, Reagan",7900034,915.7700004577637
"Wilkinson, Aaron",4223593,889.6800003051758
"Barchalk, Nathan",3729345,1037.659999847412
"Bishop, Jacob",6922159,876.4799995422363
"Boggess, Nathan",3226908,1010.6699981689453
"Bowman, Jacob",4639745,837.4099998474121
"Brandt, Andrew",7495818,860.4599990844727
"Cannon, Robert",8931003,1010.75
"Choge, Jacob",6076548,819.9000015258789
"Ciprich, John",7365454,893.1500015258789
"Collins, Tremayne",6012636,911.829999923706
"Dreibelbis, Kyle",3360878,942.439998626709
"Eppler, Paul",4173392,967.8600001335144
"Faulkner, Ryan",5461571,1008.2000007629395
"Gardner, Riley",6441077,925.6399993896484
"Glick, Daniel",5734254,917.2000007629395
"Haile, Solomon",2791342,829.2799987792969
"Haneman, Pat",2219275,913.539999961853
"Hartig, William",7985710,887.3499984741211
"Hernandez-Santos, Omar",7891686,1044.2600002288818
"Heuchert, Alex",5484496,927.5599994659424
"Hock, Jonathan",8617218,1076.0
"Hoffmann, Cooper",7294348,945.9099998474121
"Johnson, Kyle",2137875,970.1999998092651
"Knowles, Dave",2752578,911.75
"Krchnavy, Dane",5498249,921.5200004577637
"Lee, Cameron",6421654,932.4599990844727
"Limo, Elijah",8982089,853.420000076294
"Macaluso, Samuel",3716004,841.8799999952316
"Martinez, Josh",7737688,964.3899998664856
"Miller, Nick",3900447,981.4400005340576
"Mumaw, Joel",8329184,899.560001373291
"Munyan, Luke",3718723,923.0900001525879
"Obermier, Alex",4078261,905.579999923706
"Oden, Ross",3261633,896.6399993896484
"Penzenstadler, Sam",3627078,838.2400016784668
"Peterson, Michael",3196625,954.5699996948242
"Pollum, Alonzo",4990036,916.2600002288818
"Rapp, Chris",2695106,903.6800000667572
"Rastatter, Ryan",5508343,892.5
"Rich, Devin",5967399,950.060001373291
"Showen, Treyton",8265695,963.5
"Snyder, Sean",5169485,949.4000015258789
"Stanford, Garrett",8384958,844.2699999809265
"Sweeney, Jonathan",6422990,955.2200012207031
"Taylor, Ryan",3280787,908.5500001907349
"Velasco, Luis",2761662,950.9700012207031
"Witt, Colby",2761113,963.8099999427795
"Wood, Kevin",3751133,877.0299987792969
"Zimmerman, Ryan",6982161,945.8199996948242
"Albrecht, Yami",7490499,858.1499996185303
"Allen, Darin",5501242,938.0
"Atkinson, Colton",5501226,923.5
"Barbagelata, Karsten",5004708,1058.8800010681152
"Barton, Jimmy",5602065,1044.2299995422363
"Bradshaw, Brodie",8585559,978.7299995422363
"Brake, Kolin",8590640,944.9900016784668
"Byrne, Mitchell",5019615,877.9300003051758
"Campoverde, Jesse",7756449,874.3800010681152
"Cape, Andrew",8434095,993.7200012207031
"Dingman, Jack",8541582,889.2599983215332
"Drake,  Caleb",5975403,891.439998626709
"Eber, Rich",2204075,919.9599990844727
"Foster, Shea",7456444,828.7599983215332
"Harris, Kyle",4072956,925.4400005340576
"Hawley, Sam",7402870,932.2299995422363
"Herzog, Andrew",3278925,1093.1999998092651
"Klingele, Logan",7379507,950.4900016784668
"Lesmez, Ryan",5976308,912.3100004196167
"Macagg, Thomas",7916632,934.4599990844727
"Martinez, Sam",2713324,914.460000038147
"Mash, Brandon",3208514,933.9900016784668
"Oscovich, Matt",6724046,927.170000076294
"Osler, Drew",8262432,947.2000007629395
"Ramos, Anthony",6467056,961.289999961853
"Stratman, Matt",1690450,853.4899997711182
"Taylor, Matt",5997367,913.5100002288818
"Thomas, Matthew",8270355,982.7399997711182
"Zielke, Brandon",7947971,954.189998626709
"Armstrong, Elijah",5477494,838.25
"Arredondo, Brett",3286802,996.3699989318848
"Biwott, Edwin",7379021,1123.5699996948242
"Burkhalter, Daniel",7395301,890.2900009155273
"Casolaro, Caleb",5462778,917.5300006866455
"Coyle, Charlie",8980878,952.8699989318848
"Elliott, Jeremy",4066753,999.1399993896484
"Garcia, Baltazar",7898706,1018.1699981689453
"Hartley, Dylan",4050948,977.8700008392334
"Hunt, Tyler",7897501,934.189998626709
"Kirk, Forest",3361511,1012.1199989318848
"Kowalski, Lance",9111955,1022.2599999904633
"Adams, Brendan",3608843,968.7600002288818
"August, Matt",5001272,972.1599998474121
"Bratt, Aaron",7362977,880.75
"Diosdado, Issac",5017516,879.1300010681152
"Dusing, Andrew",4520278,850.2399997711182
"Edwards, Julian",8601932,946.4500007629395
"Embry, Kyle",7363458,904.0300002098083
"Famigliette, Michael",5459115,921.329999923706
"Ferguson, Brandon",5488662,859.920000076294
