,athlete_link,athlete_name,meet_date,rank,team_link,team_name,time,year
676,https://tf.tfrrs.org/athletes/5500934/Southern_Arkansas/Lane__Alexander,"Alexander, Lane","Apr 20, 2017",19,https://tf.tfrrs.org/teams/tf/AR_college_m_Southern_Arkansas.html,Southern Arkansas,15:34.08,SO-2
677,https://tf.tfrrs.org/athletes/4983075/Oklahoma_Christian/Emory_Lobley,"Lobley, Emory","Apr 7, 2017",20,https://tf.tfrrs.org/teams/tf/OK_college_m_Oklahoma_Christian.html,Oklahoma Christian,15:34.18,JR-3
678,https://tf.tfrrs.org/athletes/5466079/Oklahoma_Christian/Trevor_Talley,"Talley, Trevor","Apr 20, 2017",21,https://tf.tfrrs.org/teams/tf/OK_college_m_Oklahoma_Christian.html,Oklahoma Christian,15:34.42,SO-2
679,https://tf.tfrrs.org/athletes/5464344/Rogers_State/Seth_Whittington,"Whittington, Seth","Apr 1, 2017",22,https://tf.tfrrs.org/teams/tf/OK_college_m_Rogers_State.html,Rogers State,15:34.58,SO-2
680,https://tf.tfrrs.org/athletes/5970128/Rogers_State/Nick_Williams,"Williams, Nick","Apr 28, 2017",23,https://tf.tfrrs.org/teams/tf/OK_college_m_Rogers_State.html,Rogers State,15:35.43,FR-1
681,https://tf.tfrrs.org/athletes/5489547/Oklahoma_Baptist/Jacob_Janzen,"Janzen, Jacob","Apr 14, 2017",24,https://tf.tfrrs.org/teams/tf/OK_college_m_Oklahoma_Baptist.html,Oklahoma Baptist,15:37.42,SO-2
682,https://tf.tfrrs.org/athletes/5032062/Rogers_State/Ryan_Alexander,"Alexander, Ryan","Mar 24, 2017",25,https://tf.tfrrs.org/teams/tf/OK_college_m_Rogers_State.html,Rogers State,15:39.30,JR-3
683,https://tf.tfrrs.org/athletes/4983073/Oklahoma_Christian/Sisay_Gillock,"Gillock, Sisay","Apr 7, 2017",26,https://tf.tfrrs.org/teams/tf/OK_college_m_Oklahoma_Christian.html,Oklahoma Christian,15:45.30,JR-3
684,https://tf.tfrrs.org/athletes/4998188/Southern_Arkansas/Cody_Fox,"Fox, Cody","Apr 6, 2017",27,https://tf.tfrrs.org/teams/tf/AR_college_m_Southern_Arkansas.html,Southern Arkansas,15:47.22,JR-3
685,https://tf.tfrrs.org/athletes/5979074/East_Central/DANIEL_CAMARILLO,"CAMARILLO, DANIEL","Apr 20, 2017",28,https://tf.tfrrs.org/teams/tf/OK_college_m_East_Central.html,East Central,15:51.42,FR-1
